x,y
128.208950705,-2.32285565172
127.548948098,-1.33285174072
128.208950705,0.867156950412
126.998945925,-0.232847395152
128.098950271,-2.43285608628
128.098950271,-2.43285608628
127.218946794,-0.342847829708
127.218946794,-0.342847829708
126.668944622,0.31715477763
127.218946794,-1.00285043705
127.548948098,1.08715781952
126.778945056,-2.98285825906
127.108946360,-0.89285000249
126.888945491,-3.97286217007
127.438947663,-5.29286738474
127.768948967,-3.20285912817
127.108946360,-6.39287173031
124.258759822,-2.20142093941
124.918762429,0.988591662725
124.588761126,-1.10141659385
124.038758953,0.218588620831
126.458768513,-0.441413986507
124.258759822,3.29860078841
123.928758518,1.20859253184
125.798765906,1.86859513918
124.698761560,5.27860861042
124.368760257,3.18860035385
123.818758084,4.50860556853
126.238767644,3.84860296119
125.468764602,3.95860339575
126.678769382,5.05860774131
124.368760257,3.84860296119
128.438776335,4.72860643764
128.108775031,2.63859818107
127.558772859,3.95860339575
126.018766775,2.85859905018
126.678769382,1.86859513918
124.368760257,3.84860296119
126.348768079,1.86859513918
127.558772859,2.96859948474
125.248763733,1.75859470462
126.898770251,0.768590793613
127.558772859,-0.221413117394
125.248763733,1.75859470462
124.148759387,3.95860339575
125.358764168,5.05860774131
127.118771120,4.72860643764
126.788769817,2.63859818107
126.238767644,3.95860339575
124.698761560,2.85859905018
125.358764168,1.86859513918
132.508792414,8.46862121256
128.878778073,6.04861165232
127.778773728,5.93861121776
129.428780246,4.94860730675
127.778773728,5.93861121776
133.278795456,11.1086316419
132.178791110,10.9986312074
133.828797628,10.0086272963
132.178791110,10.9986312074
133.828797628,10.9986312074
129.288500771,5.14283913640
129.398501206,5.03283870185
128.848499033,6.35284391652
129.398501206,5.69284130919
129.398501206,5.69284130919
129.178500337,5.80284174374
136.328528583,9.21285521499
137.538533363,10.3128595606
135.228524237,9.10285478043
138.418536839,9.21285521499
136.878530755,8.11285086943
135.228524237,9.10285478043
133.908519022,7.89285000031
135.118523803,8.99285434588
132.808514677,7.78284956576
136.878530755,8.66285304221
